method,route,actual,status,durationMs,result
"GET","/api/Admissions/{id}/history","/api/Admissions/1/history","200","174","PASS_SUCCESS"
"GET","/api/College/logo/{collegeId}","/api/College/logo/1","404","79","PASS_NOT_FOUND_BRANCH"
"GET","/api/StudentProfile/my-profile","/api/StudentProfile/my-profile","200","48","PASS_SUCCESS"
"GET","/api/UserRoleMapping","/api/UserRoleMapping","200","22","PASS_SUCCESS"
"GET","/api/UserRoleMapping/{id}","/api/UserRoleMapping/1","200","16","PASS_SUCCESS"
"GET","/api/academic-levels","/api/academic-levels","200","30","PASS_SUCCESS"
"GET","/api/academic-levels/{id}","/api/academic-levels/1","200","16","PASS_SUCCESS"
"GET","/api/admissions/{admissionId}/status","/api/admissions/1/status","200","26","PASS_SUCCESS"
"GET","/api/admissions/{admissionId}/status-history","/api/admissions/1/status-history","200","30","PASS_SUCCESS"
"GET","/api/college-settings","/api/college-settings","200","31","PASS_SUCCESS"
"GET","/api/college-settings/college/{collegeId}","/api/college-settings/college/1","200","20","PASS_SUCCESS"
"GET","/api/college-settings/{id}","/api/college-settings/1","200","18","PASS_SUCCESS"
"GET","/api/profile/{studentId}","/api/profile/1","200","46","PASS_SUCCESS"
"GET","/api/profile/{studentId}/fee-summary","/api/profile/1/fee-summary","404","12","PASS_NOT_FOUND_BRANCH"
"GET","/api/roles","/api/roles","200","16","PASS_SUCCESS"
"GET","/api/roles/{id}","/api/roles/1","200","25","PASS_SUCCESS"
"GET","/api/semester","/api/semester","200","37","PASS_SUCCESS"
"GET","/api/semester/search","/api/semester/search","200","15","PASS_SUCCESS"
"GET","/api/semester/summary","/api/semester/summary","200","37","PASS_SUCCESS"
"GET","/api/semester/{semesterId}","/api/semester/1","200","22","PASS_SUCCESS"
"GET","/api/student-parents/{studentId}","/api/student-parents/1","200","30","PASS_SUCCESS"
"GET","/api/v1/academic-years","/api/v1/academic-years","200","21","PASS_SUCCESS"
"GET","/api/v1/academic-years/dashboard","/api/v1/academic-years/dashboard","200","33","PASS_SUCCESS"
"GET","/api/v1/academic-years/{id}","/api/v1/academic-years/1","200","17","PASS_SUCCESS"
"GET","/api/v1/access-requests/pending","/api/v1/access-requests/pending","200","16","PASS_SUCCESS"
"GET","/api/v1/access-requests/{requestId}/status","/api/v1/access-requests/1/status","200","15","PASS_SUCCESS"
"GET","/api/v1/authorization-test/admin","/api/v1/authorization-test/admin","200","3","PASS_SUCCESS"
"GET","/api/v1/authorization-test/admin-faculty","/api/v1/authorization-test/admin-faculty","200","3","PASS_SUCCESS"
"GET","/api/v1/authorization-test/authenticated","/api/v1/authorization-test/authenticated","200","5","PASS_SUCCESS"
"GET","/api/v1/authorization-test/faculty","/api/v1/authorization-test/faculty","200","4","PASS_SUCCESS"
"GET","/api/v1/authorization-test/student","/api/v1/authorization-test/student","200","2","PASS_SUCCESS"
"GET","/api/v1/branches","/api/v1/branches","200","20","PASS_SUCCESS"
"GET","/api/v1/branches/course/{courseId}","/api/v1/branches/course/1","200","14","PASS_SUCCESS"
"GET","/api/v1/branches/{id}","/api/v1/branches/1","200","15","PASS_SUCCESS"
"GET","/api/v1/colleges","/api/v1/colleges","200","26","PASS_SUCCESS"
"GET","/api/v1/colleges/search","/api/v1/colleges/search","200","23","PASS_SUCCESS"
"GET","/api/v1/colleges/{id}","/api/v1/colleges/1","200","27","PASS_SUCCESS"
"GET","/api/v1/course-semester-mappings","/api/v1/course-semester-mappings","200","27","PASS_SUCCESS"
"GET","/api/v1/course-semester-mappings/{id}","/api/v1/course-semester-mappings/1","200","16","PASS_SUCCESS"
"GET","/api/v1/course-structures","/api/v1/course-structures","200","18","PASS_SUCCESS"
"GET","/api/v1/course-structures/course/{courseId}","/api/v1/course-structures/course/1","200","15","PASS_SUCCESS"
"GET","/api/v1/course-structures/{id}","/api/v1/course-structures/17","200","15","PASS_SUCCESS"
"GET","/api/v1/courses","/api/v1/courses","200","20","PASS_SUCCESS"
"GET","/api/v1/courses/{id}","/api/v1/courses/1","200","14","PASS_SUCCESS"
"GET","/api/v1/departments","/api/v1/departments","200","36","PASS_SUCCESS"
"GET","/api/v1/departments/paginated","/api/v1/departments/paginated","200","26","PASS_SUCCESS"
"GET","/api/v1/departments/search","/api/v1/departments/search","200","31","PASS_SUCCESS"
"GET","/api/v1/departments/{departmentId}/hod","/api/v1/departments/1/hod","200","36","PASS_SUCCESS"
"GET","/api/v1/departments/{departmentId}/hod-candidates","/api/v1/departments/1/hod-candidates","200","17","PASS_SUCCESS"
"GET","/api/v1/departments/{id}","/api/v1/departments/1","200","16","PASS_SUCCESS"
"GET","/api/v1/profile","/api/v1/profile","200","18","PASS_SUCCESS"
"GET","/api/v1/profile/change-history","/api/v1/profile/change-history","200","19","PASS_SUCCESS"
"GET","/api/v1/promotions/dashboard","/api/v1/promotions/dashboard","200","14","PASS_SUCCESS"
"GET","/api/v1/promotions/directory","/api/v1/promotions/directory","200","30","PASS_SUCCESS"
"GET","/api/v1/promotions/eligible-students","/api/v1/promotions/eligible-students?branchId=1&academicYearId=2","400","14","PASS_VALIDATION"
"GET","/api/v1/promotions/history","/api/v1/promotions/history","200","18","PASS_SUCCESS"
"GET","/api/v1/promotions/history/{studentId}","/api/v1/promotions/history/1","200","25","PASS_SUCCESS"
"GET","/api/v1/promotions/promoted-students","/api/v1/promotions/promoted-students","200","20","PASS_SUCCESS"
"GET","/api/v1/promotions/student-eligibility/{studentId}","/api/v1/promotions/student-eligibility/1","200","28","PASS_SUCCESS"
"GET","/api/v1/promotions/student/{studentId}/history","/api/v1/promotions/student/1/history","200","23","PASS_SUCCESS"
"GET","/api/v1/section-assignments","/api/v1/section-assignments","200","13","PASS_SUCCESS"
"GET","/api/v1/sections","/api/v1/sections","200","17","PASS_SUCCESS"
"GET","/api/v1/sections/search","/api/v1/sections/search","200","12","PASS_SUCCESS"
"GET","/api/v1/sections/summary","/api/v1/sections/summary","200","12","PASS_SUCCESS"
"GET","/api/v1/sections/validate-capacity","/api/v1/sections/validate-capacity?capacity=60","200","12","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}","/api/v1/sections/1","200","12","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/capacity","/api/v1/sections/1/capacity","200","20","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/class-teacher","/api/v1/sections/1/class-teacher","200","17","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/class-teacher-candidates","/api/v1/sections/1/class-teacher-candidates","200","15","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/student-candidates","/api/v1/sections/1/student-candidates","200","16","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/students","/api/v1/sections/1/students","200","13","PASS_SUCCESS"
"GET","/api/v1/student-academic-information/{academicId}","/api/v1/student-academic-information/2","200","16","PASS_SUCCESS"
